Title,Location,Company,Description
Software Engineer - New Grad 2020 (Quip),"San Francisco, CA","Salesforce
4.3","Our goal at Quip is to build a new class of productivity tool that every person at every company enjoys using every single day. What we're looking for: a software engineering generalist who's passionate and cares deeply about product development.

At Quip, our engineers are always learning new things - we all work cross-platform and full-stack. We pride ourselves on writing high-quality code and maintainable systems that make our lives easier, across Javascript, C++, Python, Java, and Objective-C. Every engineer works on exciting, meaningful projects that impact our technical and product strategy.

We work closely with Product Managers and Designers to define new features, and help map the future of Quip. We're building the next generation of products leveraging frameworks, such as React, and tackling complex problems related to large-scale backend infrastructure and mobile platforms. We're building a team of talented, thoughtful people who will work together to build an enduring company that will change the way teams work together.

What we look for:
Passion with learning and working with others to improve yourself, the team, the product, the company
Ability to learn quickly or know one of Python, Objective-C, Javascript, SQL, C++, Java
Experience with web applications, databases, distributed systems, or mobile development is a plus
BS and/or MS degree in computer science, math, or a related technical field
Bonus: Past relevant tech internship experience
What you’ll do:
Building consumer-level applications (mobile, web, desktop) for enterprise - with a focus on design and usability
Solving complex challenges such as performance, scalability, and security
Growing and scaling our product and servers, applying the latest technologies and best practices
Mentoring your peers or be mentored by your peers in various in-house mentorship
Learn to make great and not so great puns
Posting Statement
Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay fees to any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
Full-stack Software Engineer,"San Francisco, CA","Mavenlink
4.6","Mavenlink is looking for talented software developers to join our San Francisco office. We have a great team solving challenges brought by growth & success. You'll step into a supportive environment praised by our engineers for its focus on continuous learning.

Heres how our engineering culture will support your career growth:

Pair Programming
We work twice as fast and produce better code because, with two minds working together, you find solutions you wouldnt have seen if you were working by yourself.
Amanda Holl, Software Engineer
Continuous Learning
I dont just want to learn so I can be the best, I want to learn so I can teach the people sitting next to meso we can all grow.
Adam Ellsworth, Software Engineer

Coaching and Mentorships
""Every engineer here has a 'coach' - an active, practicing engineer providing mentorship and support to help their 'coachees' grow their careers.""
Andy Leavitt, Director of Engineering

Open Communication
We teach team members how to give and receive feedback. I feel like the things I say are heard and acted on, and I have an opportunity to act on them myself.
Paulette Luftig, Software Engineer

Full-stack development
We have open architecture meetings that everyone is invited to, which we can do because everyone is full stack, and we all know how the pieces fit together. There are very few blind spots this way.
Maggie Sheldon, Senior Director of Product

As our product and customer base grow, were seeing interesting technical challenges. Weve recently finished:
Moving from Sprockets to Webpack/Yarn
Real-time streaming of all database events to time-sensitive application systems
Automated containerized staging deployment of every green developer build
Upcoming challenges include:
Developing a rich & sophisticated React component architecture
Evolution from a single Rails app to cohesive, decoupled services
Auto-scaled, self-healing production Kubernetes
Joining Mavenlink, well guide you toward the challenges that interest you.

Skills & Requirements
Though we will eventually re-open our recruiting to early-career candidates, at this time we're only considering candidates with 2+ years of experience.

Experience in our stack is not a requirement.

We value empathy, communication, and care for our colleagues."
"Generalist Software Engineer, New Grad","San Francisco, CA","LiveRamp
4.5","LiveRamp is looking for new graduates that crave challenges and seek out dynamic experiences and to jump right in and be fast-tracked onto a team that is the best fit for your skills and interests. Here at LiveRamp, we're changing the world of data connectivity. Our technology unites the marketing technology ecosystem, enabling brands to measure the impact of digital marketing on sales and deliver highly relevant messages to consumers on virtually any channel or device.

As a Software Generalist you will help bring this vision to life by tackling your projects head on. It's hard to say what tomorrow's challenge may be, but in this role, you'll be happy to hack away at it, whether it's a Ruby on Rails web application, a distributed analysis Hadoop workflow in java, or something completely new. You'll also collaborate with other engineers to execute on a diverse range of projects.

On the engineering team at LiveRamp, we value ownership and individual contribution within a collaborative environment. Be ready to leave your ego at the door, roll up your sleeves and start solving huge challenges as soon as you begin.

You will:
Design and build sophisticated systems to process and visualize massive amounts of data.
Make mistakes. Fix them; learn from them; make different ones next time.
Be at the forefront of technology innovation. Keep LiveRamp on the cutting edge of industry tools and best practices.
Push your teammates to become stronger engineers. They will do the same for you.
Take our engineering, business development, and culture in a whole new direction during one of our four Hackweeks every year.
About you:
Excited by the idea of building scalable and reliable products.
A talented new grad and looking to start a full time role in Summer 2020.
Comfortable working in multiple languages, frameworks, and environments.
Desire to work in San Francisco. We will relocate you if necessary.
Possess a startup personality: smart, ethical, friendly, hard-working and productive.
A data enthusiast who wants to be surrounded by brilliant teammates and huge challenges.
Benefits:
People. Work with talented, collaborative, and friendly people who love what they do.
Stock
Unlimited paid time off
One-of-a-kind mentorship
Competitive Medical, dental, & vision insurance
401K Matching
Employee Stock Purchase Plan (ESPP)
Commuter benefits
Catered meals & stocked kitchen
Events including games nights, happy hours, camping trips and sporting leagues
More about us:

LiveRamp provides the identity resolution services and integrations that are the foundation for omnichannel marketing. Our services transform the technology platforms used by our customers into people-based marketing channels that improve the relevancy of marketing, and ultimately allow consumers to better connect with the brands and products they love.

We thrive on mind-bending technical challenges and value entrepreneurship, humility, and constant personal growth. There is so much more that we want to build and that we could continue to improve. We value strong engineers who are agile enough to hit the ground running and tackle challenges.

LiveRamp is an affirmative action and equal opportunity employer (AA/EOE/W/M/Vet/Disabled) and does not discriminate in recruiting, hiring, training, promotion or other employment of associates or the awarding of subcontracts because of a person's race, color, sex, age, religion, national origin, protected veteran, disability, sexual orientation, gender identity, genetics or other protected status. Qualified applicants with arrest and conviction records will be considered for the position in accordance with the San Francisco Fair Chance Ordinance."
"Software Engineer, Backend","San Francisco, CA","HOVER
5.0","HOVER is transforming the home improvement market and helping people visualize what's possible with interactive 3D property models and we're looking for skilled Ruby on Rails developers to join our San Francisco team! We're working hard to enable homeowners, contractors, and insurance professionals all use HOVER to get fully measured, accurate, and interactive models of any property—in a matter of minutes, and with just a few snaps of a smartphone camera.

The Role

We are looking for a RoR Engineer who has good knowledge of the framework and hands-on experience developing web apps and backend services. We're a small but growing group of engineers, so beyond the prerequisite technical ability, we're looking for someone with exceptional initiative, curiosity, passion for learning, and a love for pushing the envelope while building high quality, scalable and extensible products.

Like all engineering roles at HOVER, this is a cross-functional role at its core which allows for multiple opportunities for mentorship, learning, and growth. You will join as a member of our backend engineering team and also work in coordination with other engineering teams (frontend, graphics, automation, mobile), and non-engineering teams (product, design) in an agile development environment.

What you will be doing

You will write clean, tested and documented code, and stay at the cutting edge of your discipline through communication, collaboration, and mentorship opportunities (including code reviews and occasional pair programming). Among other things, you will be building new features in our product, integrating image processing, 3D rendering and machine learning code, and optimizing it against one of the world's biggest datasets of residential property imagery.

What we expect from you
Current experience (1+ years) architecting and building reliable, scalable, maintainable Ruby on Rails applications
Experience with the usual suspects (rspec, git, PostgreSQL, Redis)
Comfortable on a bash shell and SQL console
Excellent problem-solving skills
Nice to have
Full stack experience (HTML/CSS, Javascript, JS Frameworks)
AWS ecosystem experience
Docker (or other container technology)
Agile/Scrum experience
Geometry/Linear Algebra
Why HOVER

Come join a small team that works hard, thinks big, and loves to celebrate our wins. We are backed by a team of investors who are committed to empowering our success, and we are excited to keep improving our product and growing our team. At HOVER, we believe there is real strength in diversity, and we're fostering an inclusive and diverse culture by hiring qualified, talented people from a wide variety of backgrounds.

Benefits
Compensation - Competitive salary and meaningful equity in fast-growing company
Healthcare - Comprehensive medical, dental, and vision coverage for you and dependents
Paid Time Off - Unlimited and flexible vacation policy
Learning - We encourage continued education and will help cover the cost of conferences, workshops, or certifications
Transportation - Pre-tax commuter benefits and free parking"
"Software Engineer, Backend - User Growth","San Francisco, CA","Tinder
4.2","The User Growth Team is a cross-discipline team whose mission is to drive Tinder's long-term user growth. By collaborating with product and a cross-platform engineering team, you'll take part in rapid experimentation fueled by user research and data-driven decisions. You'll have a unique opportunity to join a company with tens of millions of downloads and an expanding global footprint while working on a team that's small enough for you to feel the impact of your work every day.

By joining our team, you will:
Architect and engineer high-impact features that improve user acquisition, activation, and retention
Help us scale to meet the ever-growing Tinder user base and global audience
Gain exposure to terabytes of data including billions of swipes per day
Build tools & infrastructure to ensure 100% uptime of Tinder for all users across the world
What we're looking for:
Excellent knowledge and experience with a backend language like Java, Node.js, Scala, Go, etc.
3+ years of experience with large-scale distributed real-time systems and mobile backend systems
3+ years of API design experience
3+ years of experience with writing comprehensive unit and regression tests
Experience with NoSQL Databases like DynamoDB or Redis
A passion for creating great products and solving unique problems
Bonus points if you have:
Experience working on a Growth team
Experience with AWS
A BS or MS in Computer Science or Engineering from a top school, or a wonderful project list
Leadership experience
As part of our team, you'll enjoy:
The hustle of a startup with the impact of a global business
Tremendous opportunity to solve some of the industry's most exciting problems
Working with an extraordinary team of smart, creative, fun and highly motivated people
Comprehensive health coverage, competitive salary, 401(k) match, and meaningful equity
Unlimited vacation and flexible working hours
Daily catered lunches, an endless supply of snacks/refreshments, fitness classes, and social events
Modern and uplifting work environment"
"Software Engineer, Web Engineering","San Francisco, CA","Nuna
4.1","At Nuna, our mission is to make high-quality healthcare affordable for everyone. We are dedicated to tackling one of our nation's biggest problems with ingenuity, creativity, and a keen moral compass.

Nuna is committed to simple principles: a rigorous understanding of data, modern technology, and most importantly, compassion and care for our fellow human. We want to know what really works, what doesn't—and why.

Nuna partners with healthcare payers, including government agencies and health plans, to turn data into learnings and information into meaning.

Your team


In Nuna Engineering, we build technology to enable users (from data scientists to analysts to policy-makers) to understand healthcare data while ensuring its integrity, security and privacy. Our work runs the gamut from joining streams of messy real-world data to building queryable data warehouses to constructing visualizations and dashboards that provide actionable insight. We build systems that are auditable, as automated as possible, an accurate representation of the underlying data, and, most importantly, responsive to our end users' needs. We strive for a creative, collaborative engineering environment that implements best practices of peer review, readability, maintainability, and security of the code base and infrastructure.

The Nuna Web Engineering team is Nuna's full stack application & frontend engineering team. We build Nuna's user-facing web apps & APIs from the databases to the UIs. We work with the output of Nuna's Data Platform, turning large datasets into innovative data visualizations, easy-to-understand dashboards, and highly reliable APIs. We are building for the long term with a focus on increasing engineer velocity across Nuna by maintaining a UI components library, an API-in-a-box kit, and standardized development and deployment infrastructure tooling for all of Nuna's application development. We ensure enterprise-grade stability and startup-grade velocity by maintaining a well-tested code base and infrastructure that is secure-by-default.

Your impact


Web Engineering builds every product our users interact with. We measure our products' success by how much they improve care and lower costs. As an engineering-led culture, you will be at the vanguard of making healthcare work for all Americans. Today, you'll be helping hospitals improve quality of care, enabling health plans to pay for quality-of-care not quantity-of-care, and matching patients to optimal doctors. Tomorrow, you'll be creating even bigger and better products to shape this industry.

Your opportunities
You'll build products that change the dynamics and incentives of the healthcare industry, changing a zero-sum game of competition between payers and providers into patient-centered collaboration.
You'll put data science magic (like predictive analytics and dynamic modeling) into our users' hands through interactive features in collaboration with the Data Engineering & Data Science teams.
You'll design APIs and service architectures that multiply the effectiveness of internal and external developers serving millions of patients.
You'll build innovative and beautiful data visualizations that illuminate the path towards higher quality care at lower cost.
You'll manage our high stakes production environment, ensuring high availability/low latency and protecting our sensitive data with rigorous security.
You'll identify big opportunities to improve our technology and our products, blazing trails through ambiguity.
You'll mentor more junior engineers and, in turn, learn from more senior engineers, because we are learners, not knowers, and growing Nuna's people is the most reliable way to scale our impact.
You'll work as part of a team, not in a silo. At Nuna we rise by lifting others
You bring


As a full-stack application engineering team, we need a wide array of skills as a whole. We want UX engineers, backend engineers, full stack engineers, and everything in between. No single engineer needs to cover every single dimension, so don't take this as a literal requirements checklist. We're excited to talk with you if you bring some or all of the following:
Experience building production-hardened web services, with consideration for security, performance, scalability, reliability, and repeatability. Familiarity with application server frameworks like Django.
Experience sustainably engineering Javascript applications, ideally with React and Typescript.
Experience with API design and service-oriented system architecture.
Experience rapidly prototyping new product concepts, especially for enterprise clients.
Understanding of automated testing concepts in web apps and the ability to consistently apply them.
Knowledge of database fundamentals like indexing, SQL queries, schema migrations, and managing backups.
Experience managing production services and designing smooth deployment processes, ideally in AWS.
Technologies used at Nuna
Python, Django, SQL, testing tools (e.g. pytest)
JavaScript, TypeScript, React, module bundlers (e.g. Webpack), testing tools (e.g. Cypress, Jest), CSS, HTML
Linux, OS X
AWS ECS, RDS, Security Groups, IAM, Lambda; Hashicorp Terraform and Vault
Nuna is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability, genetics and/or veteran status."
Software Engineer,"Oakland, CA","Babylist
4.2","The Babylist engineering culture is one of learning and knowledge sharing. We are passionate about experimentation, automation and shipping value to our customers. Our stack is based on Ruby on Rails and React. We continue to expand our toolbox to use the best technologies for the job.
Who You Are
You have a track record of implementing systems that can adapt to new business requirements
You are familiar with domain experience in web technologies and e-commerce
You understand testing, monitoring and running a production software system
You are able to develop an architecture with a team
You are passionate about using your engineering experience to quickly define and implement systems and features that provide value to our customers
You value collaboration and working with a strong team and are excited to support your team and pleased when they support you

We like systems that run well, but when things don't go as planned we support each other
What You'll Do
Work closely with product owners to designing, implementing and deploying systems to support and scale our growing e-commerce, content and fulfillment operations
Provide input around process, tooling and systems; we benefit by more knowledge and learning how others solve problems
Improve and help maintain existing systems; friction in the development process slows us down and has a large opportunity cost
Take time to create maintainable systems and remove hurdles from the development process
Work on a close, supportive team solving real world problems and making decisions
Maintain older systems and replace them safely
Learn and growing as an engineer
What You've Done
2+ years of engineering experience with a proven track record of building consumer web applications or services
Fluency in at least one of Ruby, Javascript, Python, or another modern programming language
Demonstrated understanding of CS fundamentals
Designed and implemented scalable web services
Experience with React/Redux a plus
About Babylist

At Babylist, we help expecting parents get exactly what they need for the arrival of their new baby. We have a large and rapidly growing user base of passionate parents-to-be who are making important purchasing decisions for one of the biggest events in their lives, which is both exciting and overwhelming. Our core product is our universal baby registry. Currently 25% of first-time expecting families in the United States actually create a baby registry at Babylist.com. In 2019 over $300 million worth of gifts will be purchased off of Babylist registries.

Why You Will Love Working at Babylist:

• We get stuff done
• We have a real impact on people’s lives
• We're passionate about our users and we genuinely appreciate them
• We work at a sustainable pace for long-term success (yes, we’re profitable)
• We are growing and have meaningful opportunities for career advancement
• We’re a technological and data-driven business
• We believe in autonomy and reward taking initiative
• We have experienced leadership that is always open to new ideas

Benefits:

• Competitive pay
• Competitive health benefits including company-funded medical, dental, and vision
• 401(k), FSA plans, and disability insurance
• Easy access to BART and commuter assistance
• Flexible, paid parental leave policy
• We work at a sustainable pace; in general we don't work late or on weekends, and most employees WFH on Wednesdays

If your experience is close to what we’re looking for, please consider applying. Experience comes in many forms – skills are transferable, and passion goes a long way. We know that diversity makes for the best problem-solving and creative thinking, which is why we’re dedicated to adding new perspectives to the team and encourage everyone to apply."
Software Engineer -Full Stack / UI,"San Francisco, CA","MyVest
4.5","Software Engineer - Full Stack / UI (Operations Applications)

MyVest is a growing fintech company headquartered in the heart of San Francisco, building enterprise-level software for wealth management. Our software helps some of the leading financial institutions in the country empower more families to secure their financial future. Come work for a company with award-winning culture, where collaboration, transparency, work/life balance (and of course fun) are top priorities.

The Team:


The Operations Applications team is responsible for the innovation and development of Operations products that provide automation and scale to reconciliation, transaction management, and billing. You will contribute to and lead projects building out our newest features as well as rebuilding, upgrading, and enhancing our current products.

The Opportunity:

Join a team that is creating the next generation of wealth management and financial services software
Implement effective software solutions for customer-facing web applications responsible for managing, analyzing, and visualizing financial assets
Utilize cutting-edge technologies
Gain a deeper understanding of the investment industry
About You:

A self-starter who takes responsibility for what you build
Passionate about open source technologies and UI frameworks
Well-versed in design patterns, including OO design
Adept in RESTful web services, NoSQL (preferably Cassandra), SQL (preferably Oracle) and Docker
A keen interest in familiarizing yourself with new technologies and programming trends
A firm belief in the value of testing your code and actively practicing test-driven development
Enthusiastic about researching new technologies and integrating them into existing systems whenever appropriate
BS in Computer Science or Computer Engineering
Ideal Experience:

2 or more years of recent post-graduation work experience
2 or more years of strong programming work with Javascript and HTML5
Experience with AngularJS or other UI frameworks is a plus
Experience with Java, Spring, Hibernate (valuable, but not required)
Substantial testing experience, with an appreciation for the importance of automated testing best practices
Proven experience delivering robust, scalable systems that fulfill requirements within strict time constraints
A good understanding of best practices in web development with experience in requirements analysis, design, coding, testing, and delivery of high demand web applications
Financial services industry experience is a plus; Investment Management services experience is particularly valuable.
Don't worry, we don't expect you to have everything on this list, but the more the merrier!

Why MyVest:

Competitive compensation
Flexible time off
Dedication to work/life balance
$1,500 Annual Professional Development budget to grow your career
Generous coverage of medical, dental and vision insurance premiums for you AND your family
401(k) Match
Bright open office in FiDi with views of the Bay
MyVest is an equal employment opportunity (EEO) employer, dedicated to maintaining a work environment free of bias, harassment, discrimination and retaliation. As an EEO employer, this organization expressly prohibits discrimination, harassment, and retaliation on the basis of race, creed, ethnicity, color, age, religion, sex, sex stereotype, pregnancy (including childbirth, breastfeeding or related medical conditions where applicable), sexual orientation, gender, gender identity, gender expression, transgender, marital status, national origin, ancestry, physical or mental disability, requesting a reasonable accommodation based on mental or physical disability, medical condition (as defined by applicable law), genetic history and information, citizenship status, military or veteran status, or any other status protected by federal, state, or local law or ordinance or regulation (collectively referred to here as protected characteristics)."
Software Engineer University Grad,"San Francisco, CA","Dropbox
4.1","Company Description


Dropbox is the worlds first smart workspace that helps people and teams focus on the work that matters. With more than 600 million registered users across 180 countries, were on a mission to design a more enlightened way of working. Dropbox is headquartered in San Francisco, CA, and has 12 offices around the world.

Team Description


Our Engineering team is working to simplify the way people work together. Theyre building a family of products that handle over a billion files a day for people around the world. With our broad mission and massive scale, there are countless opportunities to make an impact.

Role Description


Creating elegant products begins with lots of prototyping and iteration to explore the problem space. We care deeply about collaboration and feedback during the development process. It culminates in careful attention to edge cases and error handling, polished code, and great tests to ensure that we ship a reliable product that never compromises data integrity or security. Every Dropbox software release reaches hundreds of millions of people, and the user-to-engineer and petabyte-to-engineer ratio are both very high.
The new grad engineering position at Dropbox is a role that blends learning with impact. You will take ownership of impactful projects from day one - yes youll contribute code on your first day.Your success depends on learning from our on-boarding program, working with your assigned mentor and engineering lead, as well as experienced engineers across the company. In addition, weve created many company-wide developmental events and programs to supplement your learning.

Responsibilities

As a new grad, there are many different types of roles and teams that you can have an impact on. Here are some of the things you might do:
Application Engineering- Youll build delightful full-stack user experiences that solve real customer needs and drive tons of $$ for Dropbox. As a product engineering intern you can expect to work across backend, api, desktop, mobile and web.
Cloud Engineering- Craft the building blocks that let us scale Dropbox to handle millions of concurrent connections, hundreds of billions of files and hundreds of petabytes of data.
Analytics Engineering- Measure, optimize, and build one of the industrys most advanced analytics platforms to derive meanings from vast amounts of data. Our massive scale means youll work with more data than many other analytics firms combined.
Mobile Engineering- You are an Objective-C, Swift, Java and C++ magician - this team knows the ins and outs of iOS and Android SDK and will help you weave and bend the APIs to craft the Dropbox client experience on mobile devices. Youre also responsible for building the backend systems that power the mobile experiences and optimize the protocol between client and server for reliability, efficiency and speed.
Web Engineering- Youre responsible for our website - dropbox.com and paper.dropbox.com. In addition to everything product engineers do but youre also deeply interested in building a fast, scalable, and responsive Dropbox experience for the modern web, using cutting-edge tools like Typescript, React, and Redux.
Site Reliability Engineering (SRE)- This team lives dangerously on the boundary of software and hardware - they have a deep understanding of the inner workings of our product and are interested in ensuring our products work well on real-world hardware in our data centers. You will build the software and automation that controls the hardware that runs our products, and serve as the first line of defense when something goes with our production infrastructure or services.
Security Engineering- People trust Dropbox to keep their data secure, and at Dropbox we rely on our security engineers to make our products safe. Youre a software engineer with a deep interest in building software that is secure yet easy to use. By the way, interest in the shadowy computer underworld is a definite plus. Security engineers consult with product teams to secure our software, production infrastructure, website, desktop and mobile apps and our corporate infrastructure and devices.
Requirements
Computer Science (or similar) students graduating between December 2019 - August 2020 from Undergraduate, Masters or Ph.D. programs
If you have experience writing or shipping software as part of internships, personal projects, coding competitions or research and the work we do at Dropbox resonates with you, wed love to learn more about you
Benefits and Perks
100% company paid individual medical, dental, & vision insurance coverage
401k + company match
Market competitive total compensation package
Free Dropbox space for your friends and family
Wellness Reimbursement
Generous vacation policy
10 company paid holidays
Volunteer time off
Company sponsored tech talks (technology and other relevant professional topics)
Dropbox is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to make sure all people feel supported and connected at work. A big part of that effort is our support for members and allies of internal groups like Asians at Dropbox, BlackDropboxers, Latinx, Pridebox (LGBTQ), Vets at Dropbox, Women at Dropbox, ATX Diversity (based in Austin, Texas) and the Dropbox Empowerment Network (based in Dublin, Ireland)."
"Software Engineer, New Grad","Sunnyvale, CA","Real-Time Innovations
4.9","As a software engineer in our development team, you will be part of a team of experts building a secure real-time middleware platform with extreme performance and scalability. The RTI Connext software enables 100s and 1000s of applications and devices to exchange data in a timely and reliable way. Our software features direct peer-to-peer connections, reliable multicast, automated application discovery, and unique, contractual quality-of-service control. Our team values creativity, risk-taking, innovation, and open communication.

RTI leads the world market for software that connects AI to real-world devices. Our software runs the largest power plants on the continent, connects perception to control in over 200 autonomous vehicles, drives the new generation of medical robotics, controls hyperloop and flying cars, and provides 24x7 medical intelligence to hospital patients and emergency victims. We are the best positioned small company in the world to create the very real future of intelligent, distributed systems.

Our diverse and global workforce believes in working hard and enjoying the journey. We recognize employees for their achievements, offer great opportunities for career growth and development, and provide the tools they need to succeed. We also offer great benefits and flexibility. We commit to making your life as satisfying as your career. And, RTI's team is unmatched; our collaborative, transparent, and creative culture truly sets us apart from the rest.

We solve some of the greatest challenges in technology. We combine artificial intelligence with real-world distributed systems; today's two most important trends. Our mission is to transform industries: automotive, medical, power, defense, and control. Our core values emphasize excellence, teamwork, and your potential. Few small companies can truly claim to make the world run better like RTI. Come help make a real difference.

Responsibilities


Support, design, develop, test and document core infrastructure software, part of the RTI Connext Data Distribution Services (DDS) products.
Triage customer issues, and find timely creative solutions to customer problems
Create engineering builds resolving specific bugs and ship maintenance releases
Design new features and participate in architecture reviews for the overall product
Develop new features using C/C++ with exposure to Java, C#, Python, Ada, and Lua as well
Test and maintain middleware on a variety of operating systems and real-time embedded platforms, and for interoperability with other DDS-based products
Write API and feature documentation
Evaluate and analyze performance
Requirements
Degree in Computer Science or related field (Advanced degree preferred)
Studies related to distributed systems, peer-to-peer networks, or computer networking
Experienced programmer (through internships, university projects, open source projects, etc.). At RTI, a majority of your work will be in C with exposure to feature development in C++/Java/C#/Python/Lua. We are looking for somebody with a strong foundation in C or C++ who knows how to program. Don't worry if you do not master all of these programming languages. We believe a good programmer will pick up other languages quickly.
Ability to work successfully in a highly distributed team
Excellent English written communication skills, with the drive and desire to improve English verbal communication skills.
0-8 years of experience
About RTI

We have a collaborative and inclusive environment where individuals strong on aptitude and attitude will have an opportunity to grow their professional careers. Our culture embraces transparency, learning, and fun. We offer an attractive compensation package consisting of competitive salary, benefits, vacation bonuses, and equity participation.

RTI is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color national origin, sex, age status as a protected veteran, or status as a qualified individual with disability."
