Title,Location,Company,Description
Software Engineer,"Cambridge, MA","Cogo Labs
4.1","A big part of building successful companies is reaching the right audience. At Cogo Labs we build reliable, scalable, and customizable tool chains that allow our businesses to find and attract users who will become loyal customers. We are hiring a Software Engineer to contribute directly to critical growth initiatives and key systems that support our internal and external customers in our quest to build massive scale consumer internet companies. You'll work on cross-functional teams not only with different engineering disciplines, but from across the company to drive success under the direction of Project Owners, with mentors to guide you in your career development. Ownership and accountability are core to how we build successful teams and as a Software Engineer at Cogo you will enjoy a high degree of autonomy as we continue building some of Boston's fastest growing startups.

How we work:

Our core systems are written in Go, containerized using Docker, and managed using Kubernetes; we are obsessive about using Git to track not only our code, but also manage projects, prioritize user requests, and keep our work transparent across the company, all the way down to planning speakers for our various monthly meetings. We run our own state of the art compute and storage systems, managed by our Sysops team, and meshed with cloud services for maximum efficiency and flexibility. We favor Kafka for queuing solutions, high availability MySQL and ElasticSearch clusters for database needs, and Airflow for job and data pipeline orchestration. On the cloud side we make extensive use of Redshift, S3, Presto, and EMR services.

We are big believers in sharing knowledge & expertise internally, with code reviews as standard practice and monthly engineering-focused meetings where we share learnings and best practices. Tech conferences such as DockerCon and GopherCon help us make sure we're leveraging the best the community has to offer, and our engineering teams love sharing and applying new developments that can accelerate growth.

On your first day you should expect to:
Be up and running on GitHub, TravisCI, Codecov, Sentry, and Docker
Start looking at an existing code base and sketching out a plan of attack for your project
Begin learn about how our business works to add context to your day to day work
Going forward, expect to:
Add new features to tools and services that support businesses under incubation
Streamline existing processes that are painful or time consuming
Upgrade existing systems to take advantage of new technologies
Support analysts who use your tools in production workflows
Build monitoring infrastructure that makes sure systems and campaigns are running smoothly
Maintain and improve existing libraries, APIs, and services that analyst teams and incubating companies depend on daily to grow their businesses
Things that would help you succeed in this role:
BA/BS in Computer Science required
Fluency with at least two programming languages
Familiarity with SQL and database design
Working knowledge of HTML, Javascript and CSS.
Experience working with macOS or Linux development tools
A desire to work with and solve problems related to the warehousing of large data sets
Ability to thrive in an agile, team-oriented environment
About Cogo Labs:
We're a venture accelerator - we employ data-driven, analytical methodologies to build profitable large-scale consumer internet businesses
Our work is challenging and dynamic; our environment is fun and supportive
Our company is profitable and established - ""startup culture"" without ""startup anxiety""
We offer competitive salaries and benefits, along with substantive participation in the success of the companies we incubate
The Cogo team is an interesting and diverse group with passions and hobbies outside of work - we are musicians, athletes, filmmakers, gamers, authors, beer brewers, and whatever you are!"
Full-stack Software Developer,"Salt Lake City, UT","Mavenlink
4.6","Mavenlink is looking for talented software developers to join our Salt Lake office. We have a great team in Salt Lake, and you'll be joining in the early days, with a chance to influence the culture. You'll step into a supportive environment praised by our engineers for its focus on continuous learning.

Here’s how our engineering culture will support your career growth:


Pair Programming
“We work twice as fast and produce better code because, with two minds working together, you find solutions you wouldn’t have seen if you were working by yourself.”
Amanda Holl, Software Engineer
Continuous Learning
“I don’t just want to learn so I can be the best, I want to learn so I can teach the people sitting next to me—so we can all grow.”
– Adam Ellsworth, Software Engineer

Coaching and Mentorships
""Every engineer here has a 'coach' - an active, practicing engineer providing mentorship and support to help their 'coachees' grow their careers.""
– Andy Leavitt, Director of Engineering

Open Communication
“We teach team members how to give and receive feedback. I feel like the things I say are heard and acted on, and I have an opportunity to act on them myself.”
– Paulette Luftig, Software Engineer

Full-stack development
“We have open architecture meetings that everyone is invited to, which we can do because everyone is full stack, and we all know how the pieces fit together. There are very few blind spots this way.”
–Maggie Sheldon, Senior Director of Product

As our product and customer base grow, we’re seeing interesting technical challenges. We’ve recently finished:
Moving from Sprockets to Webpack/Yarn
Real-time streaming of all database events to time-sensitive application systems
Automated containerized staging deployment of every green developer build
Upcoming challenges include:
Developing a rich & sophisticated React component architecture
Evolution from a single Rails app to cohesive, decoupled services
Auto-scaled, self-healing production Kubernetes
Joining Mavenlink, we’ll guide you toward the challenges that interest you.

Skills & Requirements
Though we will eventually re-open our recruiting to early-career candidates, at this time we're only considering candidates with 2+ years of experience.

Experience in our stack is not a requirement.

We value empathy, communication, and care for our colleagues."
Software Developer,"Boston, MA","Nara Logics
5.0","We are looking to build out our team with enthusiastic software developers for our Nara Logics Synaptic Intelligence platform. This job will give anyone who wants to combine artificial intelligence and software engineering a great opportunity to explore new applications for our platform- a novel, general-purpose AI platform that provides recommendations and decision support across a variety of information classes and customer verticals. It uses advanced techniques in neural networks and machine learning. The platform learns, optimizes, and provides real-time interaction for recommendations and relations, along with dynamic analytics for understanding connections.

The breadth and generality of the platform offers a fascinating way to engage a host of software skills where the latest in artificial intelligence converges with existing real-world problems. Themes include distributed computing, large-scale data, neuroscience, loosely coupled modules and elegant systems. Nara Logics works with top global companies looking to differentiate themselves with machine intelligence.

Our Culture:
We are a small, close team. You need to be positive, self-motivated and self-managed.
Our customers are large enterprises. You need to have the skills required for developing a production-grade, high-profile, highly scalable platform.
This is an intelligence platform, and you’ve got to be smarter than it. Problem solving skills (troubleshooting, critical thinking, etc.) are a must.
Responsibilities:
Developing either/both our Python based engine that processes recommendations and decision support requests or our Java based back-end data processing components that provide high throughput moving client data into our neural graph representations.
Customizing configuration and monitoring screens using Python/Django.
Work with the team to ensure that new functionality is integrated into our orchestration systems using Linux, AWS, Git, Docker, Docker Swarm, and Jenkins.
Working directly with our customers to implement our platform
Requirements
Proficient in Python a must, Java and PHP a plus
Understanding of REST API and loosely coupled system concepts
Bachelor’s degree or higher in computer science, mathematics, or a related discipline
Experience with AWS, PHP, SQL, Jenkins and Docker a plus
Familiarity with unit/functional testing, Agile methodologies, Git and Jira a plus
Benefits

There are many benefits to working at Nara Logics. Here are some of the most popular:
Health and Dental insurance
401K program
Fitness center stipend
Dog friendly environment
Open vacation
]]>"
Software Engineer 1,"Phoenix, AZ","Choice Hotels
3.1","Choice Hotels International is a cutting-edge software development company that builds software to manage, reserve, and book hotel rooms across our portfolio of brands. Choice provides innovative enterprise SOA solutions based on Open Source and AWS technologies. Choice is a tightknit team where you can enhance your skills in an environment that emphasizes creativity, knowledge sharing, teamwork, professionalism, and outstanding quality software. You will work alongside some of the most talented and dynamic professionals as they work to provide exceptional solutions to the many challenges our business and franchises face. If you are optimistic, driven, enjoy working with the latest technologies, and have the right blend of business acumen, technical savvy, and customer-facing skills, then we want to hear from you.

Responsibilities:
Build up a broad knowledge of core CS concepts.
Focus on growing as a software engineer - learning existing tools, resources, and processes
Develop your productivity skills by learning source control, editors, the build pipeline, and other tools, as well as testing best practices
Tackle well-defined tasks, commit, and deliver with the guidance of Senior developers as a part of a Scrum team during each sprint
Develop your knowledge of a single component of our software architecture and branch out into other areas as your grow as a software engineer
Work hard / Play hard; You take your commitments seriously and deliver as a member of a collaborative team
Live Choice's core values
Embrace Change and adapt to new technologies quickly
Graciously accept feedback and learn from everything you do
Your education and/or experience:
Bachelor’s Degree in Computer Science, or related field, from a four-year college or university, or one to two years related experience and/or training; or equivalent combination of education and experience. Relevant industry certification, such as Oracle Java Developer, is preferred.
Proficiency or familiarity with the following technologies:
Java (1-2 years)
Spring or similar MVC framework.
Unix/Linux and one of the many shells.
Service oriented designs and technologies (AJAX, XML/JSON)
Web service protocols, such as SOAP or REST.
SQL
Source control. Subversion and/or GIT.
Excellent knowledge of all aspects of the software development lifecycle: design, functional and technical requirements, coding, debugging, testing, release, and operational support.
Knowledge of Agile software development methodologies, Service Oriented Architecture and object-oriented programming methodologies.
Knowledge of software development best practices, including coding standards, code reviews, source control management, build processes, testing, and operations.
Knowledge of relational database management, system technologies, and tools
Exceptional verbal, written and listening communication skills
Exceptional interpersonal skills and demeanor
Proficient in the use of MS Office suite, including familiarity with Visio
Above all else, the desire and ability to learn quickly
Added value proficiencies in the following technologies:
AWS (S3, SQS, SNS, EC2)
HTML, CSS and JavaScript (jQuery), React a plus.
Familiar with continuous integration tools such as Jenkins, Sonar, Stash.
Ability to model Choice’s Cultural Values: Welcome and Respect Everyone, Be Bold, Be Quick, Listen, Be Curious and Show Integrity."
Software Help Desk Specialist,"Ames, IA","Ortho2 Computer Systems
4.0","Software Help Desk Specialist
Ortho2, a leading provider of orthodontic practice management software, is seeking a Software Help Desk Specialist in their Ames, Iowa office. We are looking for a competent individual who can provide fast and useful technical assistance to our customers regarding our proprietary software and integrated peripheral software applications.
You will answer queries on functionality and technical issues and offer advice to solve them. A worthy candidate must have good technical knowledge, and be able to communicate effectively to understand the problem and explain its solution. They must also be customer-oriented and patient to deal with customers at all skill levels.
Responsibilities:
Serve as the first point of contact for our customers seeking technical assistance over the phone, chat, or email.
Perform remote troubleshooting through diagnostic techniques and pertinent questions.
Determine the best solution based on the issue and details provided by customers utilizing internal resources.
Walk the customer through the problem-solving process.
Record events and problems and their resolution in customer logs
Follow-up and update customer status and information
Direct unresolved issues to the next level of support personnel.
Pass on any feedback or suggestions by customers to the appropriate internal team
Work in coordination with other departments within the company.
Provide accurate information on products or services
Job Requirements:
Proven experience as a software help desk specialist and/or in another customer support role
Possess comprehensive knowledge and experience with computer technologies, Windows, Microsoft Office, mobile devices, and remote control applications.
Ability to diagnose and resolve basic technical issues
Customer-oriented and cool-tempered
Proficiency in English
Excellent oral and written communication skills
Possess organizational and time management skills and demonstrate a solid work ethic
Travel is required. Mostly within the continental U.S. for 3-4 days at a time, potentially two-three times per month.
Shift hours are 10:00 a.m. – 7:00 p.m. M-F"
Full Stack Software Engineer,"Buffalo, NY","Pointman
4.4","Pointman provides business solutions for frictionless operations management and growth for residential HVAC, Plumbing and Electrical contractors. We provide this service through a system we call PACT. Pointman PACT members receive dedicated support for managing their business by providing four elements of support: Process, Analytics, Community, and Technology.

We are seeking a Full Stack Software Engineer to design, develop, maintain and improve the software application suite for our customers.

We need someone who wants to work collaboratively within the Engineering team and with the Customer Experience and Quality Assurance departments to specify, implement, and verify detailed software processes continually seeking to exceed the product owner's expectations.

Responsibilities and Duties:
Mastering the Full Stack app development process: Back-end knowledge (.NET & NodeJS, SQL) & iOS and Android using Cordova/Phonegap (Angular, Javascript, Obj-C, Java),
Participating in peer code reviews, pair programming, and other peer-to-peer learning opportunities as part of the Agile sprint team
Distributing expertise and skills amongst teammates
Moving the company forward with a positive attitude, giving and receiving constructive criticism, and showing a willingness to adapt when facing difficult problems
Designing, developing functional applications based on requirements
Analyzing software requirements to determine feasibility of design within time and cost constraints
Remaining current on application development by reading specification documents, attending conferences, participating in other training opportunities to learn.
Competencies:
Problem Solving/Analysis
Technical Expertise
Innovation/Curiosity
Collaboration/Communication Proficiency
Time Management/Goal Oriented
Eager to Grow
Required Experience
Bachelor's degree in Computer Science or a related field, or an Associate's degree in Computer Science or related field with 3+ years of professional experience with multiple programming languages (C#, Java, JavaScript, Obj-C, or equivalent)
3+ years of experience with web technologies, such as JavaScript, HTML5, and CSS
Working knowledge of the software development life cycle (e.g. requirements, analysis, design, implementation, testing, and documentation)
NodeJS, Express, .Net Core, Python, Angular, Vue, SQL Server experience
Experience with cloud based environments (Azure, AWS, Google Cloud Platform, etc.)
Experience with mobile technologies: iOS & Android
Sensitivity altering existing software
A proven team player, who is driven to go the extra mile to make something great
An entrepreneurial spirit that takes pride in their work and is enthusiastic about innovation and creating new products
Ability to work in the United States without sponsorship is highly preferred
This position is not remote and is located in Buffalo, NY in the western portion of the state. Local job seekers or those returning to Buffalo, NY are highly preferred.
Why Pointman?

Because when we’re at our best, we help change the lives and livelihood for some of the hardest working people in the country, and when they say “thank you,” they mean it. Nothing feels better than knowing you’ve been a part of something meaningful for them, for their families, and for their communities.

Pointman believes that Main Street businesses and entrepreneurs are the heartbeat of our economy. Having started and run several service businesses ourselves, understanding the risks and rewards of succeeding in small business is part of our DNA here at Pointman. Working here is about helping others “make it.” It’s not just about building apps and going paperless; it’s about being part of a movement to help Main Street succeed again. It’s about standing up for the underdog. It’s about having the courage to put yourself out there to say, “I’m here to help” and then delivering on that promise.

As we grow our team, it’s essential that our why resonates with you. At times, we’ll ask a lot of you, and it’s important to know why we do what we do. We also believe firmly in taking good care of our people. We believe in a healthy work-life balance and in creating an environment that allows everyone to achieve autonomy, mastery, and purpose in their roles here at Pointman.

Our offices are in the Brisbane Building in the heart of downtown Buffalo, and we offer some of the best perks in town, including:
near unlimited snacks and drinks
a small office gym (w/ showers and lockers)
lots of unique working, relaxing, eating, and creative spaces
a huge kitchen where we cook fantastic food
lots of amazingly cool and hardworking people
team outings, happy hours, and more
In addition to a competitive salary, Pointman offers paid vacation and personal time, generous parental leave policy, access to healthcare coverage for employees and their families, retirement account (401K) with 3% company matching funds and more.

We hope you are interested in becoming a member of the Pointman team. If you believe you'd be a good fit for the Full Stack Software Engineer position, please apply. We look forward to reviewing your application!"
Java Software Engineer,"Anderson, IN","Leclanché
2.2","At Leclanché, we have talented people who are willing to roll up their sleeves and contribute to the success of our Company. Passion for their work, initiative and adaptability, impact and influence, innovation anddecisiveness are the key attributes we are looking for. Our world leading in-house technologies, based on lithium-ion cells, and ownership of the full value chain from electrochemistry to energy management software, make us unique and a partner of choice for customers who require smarter and faster energy storage solutions for grid and microgrids, fleets and electric commercial vehicles, marine vessels and robotics applications.

In order to capture customer needs, define and develop Battery Energy Storage solutions which meet and exceed customer expectations in the Energy Storage sector, we are looking for our Energy Management System (EMS) Team part of Stationary Storage Business unit, Storage Business unit, in Anderson, IN, USA, for an
Software Developer - Java
Role and responsibilities:
Collaborating with sales team and Engineering team to define and write Project requirements.
Ability to multi-task and handle multiple projects.
Writing Technical document as needed.
Developing new Project-specific features if needed.
Setup project-specific simulation configurations.
Test project-specific configuration against project-specific simulations.
Install software & configuration files on hardware; ship to Project site.
Support application engineering staff to finish commissioning.
Post Commissioning Support -- follow up on customer inquiries or automated alerts after sites are commissioned.
Collaborate with teams and customers across the globe in different time zones.
Contribute towards a future roadmap


Skills and experience:
Bachelors or Masters degree (preference given to Computer, Electrical, and STEM majors)
Solid understanding of Object-Oriented principles
5 years of Enterprise software development experience In Java orJ2EE or Spring MVC or ASP.Net MVC Core
Experience developing in Ubuntu Linux is a plus
Experience with Cloud
Knowledge or experience in Machine learning
Experience in HMI development is a plus
Web Development experience is a plus
Android & IOS App Development experience is a plus
Knowledge of TCP/IP & networking principles is a plus
Knowledge of cyber security is a plus
Quick learner and ability to adapt to new technologies
Enhancing User Interface design to the latest industry trends but not compromising on stability and quality.
Travel
0-5% Travel may be needed to sites in Europe and across the globe
Location
Anderson, IN, USA
Employee Status
Full-time Employee
Work Authorization
Applicants are required to be eligible to lawfully work immediately for any employer without sponsorship
Leclanche NA is an is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation, gender identity, age, pregnancy, genetic information, or any other characteristic protected by law."
Software Implementation Consultant,"Laguna Hills, CA","Altec Products
3.7","Be a part of our team in our Professional Services Group. We have a great opportunity for you!

Responsibilities:
Design, architect and deliver high quality billable product-related services to customers and business partners in the areas of application installation and integration
Act as the subject matter expert on business processes involved in customer projects and translate this knowledge into an effective implementation
Consult with clients to analyze and understand functions to be automated, client needs, objectives, desired features and input and output requirements
Analyze, define and document system requirements for data, workflow, logical processes, hardware and operating system environment, interfaces with other systems, internal and external checks and controls and outputs
Develop and maintain plans outlining steps and timetables for configuring, testing and installing Altec’s solutions
Perform Windows Infrastructure and Troubleshooting for deployment into Windows Environments
Provide technical assistance by responding to inquiries regarding errors, problems or questions with the implementation
Acquire and maintain current knowledge of relevant product offerings in order to deliver services and to enable the transfer of skills to the personnel of Altec’s business partners and customers
Learn and use the Altec’s Professional Services Methodology to ensure consistent and repeatable delivery of services
Train end users and technical support staff
Perform time and cost reporting on all projects by the required deadlines
Qualifications:
Strong skills, tact and diplomacy in dealing with sensitive customer issues, with exceptional follow-through ability and communication skills
Strong written communication skills
A technical degree (B.S) and minimum of two years software implementation experience
Hands-on experience with SQL Query and MS SQL Server
Hands-on experience with one or more network and routing protocols
Experience with XSLT a major plus (technical level)
Working knowledge of Citrix or Terminal Services
Hands-on experience with Applications a major plus (technical level) (Epicor, Dynamics-GP, Dynamics-SL, Dynamics-AX, Sage 100 (MAS90/200), Sage 300 (AccPac), Sage 500 (MAS500), SAP Business One)
Must enjoy and be willing to travel 30%-50%"
"Software Engineer, Backend","Boston, MA","Plum Group
4.9","As a backend software engineer you will have the opportunity to join our application development team in the planning and designing of new products and features, in addition to updating and maintaining our current product lineup (https://www.plumvoice.com/products/). Your role in the application development team will involve designing back-end database architecture as well as PHP model and controller code required to support front-end requirements.
Skills & Qualifications:
Bachelor’s degree in computer science, engineering, or equivalent
3+ years experience of web application development
Solid understanding of web application architecture
Working knowledge of relational databases (MySQL, MariaDB, etc.)
Working knowledge of PHP
Strong programming fundamentals
Experience with any of the following are a plus:
No-SQL databases (MongoDB, CouchDB, etc.)
PHP frameworks (CodeIgniter, CakePHP, Laravel, etc.)
Additional Requirements:
Strong problem solving skills
Ability to think logically and analytically
Exceptional communication and organizational skills
Self-motivated, detail-oriented team player
Quick to pick up and understand new technologies
Enthusiasm to work in a fast-paced, collaborative environment
Primary Responsibilities:
Working with application development team to build, update, and maintain core applications
Collaborating with application development team on new products and features
Other duties as assigned
Compensation
Competitive salary + options + medical benefits + 401K

About Us
Our Work
We create innovative products that help businesses manage their communications technology needs through web, SMS, and IVR (Interactive Voice Response) platforms and services. Our flexible solutions range from standard touch-tone IVR applications to specialized telephony services supporting speech recognition, speech synthesis, and outbound dialing.
Our Culture
We’ve been around for over a decade, but we’ve kept to our start-up roots. We’re focused on building innovative technology in a youthful, open, collaborative and supportive work environment. We stress team over hierarchy in the workplace and encourage all members of our team to take on new challenges and responsibilities.
Our Character
We take an intelligent, thoughtful, creative approach to everything we do. As a small, high-growth company, we need people who are smart, self-motivated, independent and hard-working with the ability to adapt to various roles, accept numerous responsibilities, and get work done without needing to be micromanaged. We seek team members with curiosity and the desire to be constantly learning. Come and join the Plum Voice team!
Simply put, Plum makes business communication easier. We provide companies with the tools and technology to build applications that automate tasks over the phone. Oftentimes, a company's most important interactions with customers take place over the phone. Plum helps companies handle these calls in a fast, efficient, and consistent manner. Using a range of telephony tools like interactive voice response (IVR), call routing, messaging, and surveys. Plum allows businesses to implement automation and self-service for even the most complex processes.
Using Plum technology enables businesses to provide great customer service and to balance that with the need for operational efficiency."
Software Developer Intern,"Charlotte, NC","PeraHealth
4.0","Why work at PeraHealth?

PeraHealth is a growing software company that uses the Rothman Index to transform the clinical and financial efficiency of healthcare. The Rothman Index is the only proven algorithm that derives one simple score from the vast amount of data in the electronic medical record to create a picture of any patients condition over time any age, any disease, any unit. Our employees wake up every day knowing what they do matters. Regardless of your craft or level, every person counts, has a voice, and impacts the value of our organization.

Why join our Internship program?

This internship will provide the opportunity for you to learn and grow within a variety of technologies. Youll be provided with a meaningful project that youll own throughout the duration of your internship with the support of a dedicated mentor. The project will be selected following a conversation with you to ensure that it aligns with your interests. Opportunites are available for frontend development (Angular), backend development (Java/Spring), or both. From the design phase, through to development, youll become familiar with the processes and technologies used by a fully Agile team, while contributing to the mission of saving lives.

What will you do?
Learn and apply new technologies, processes, design principles, and methodologies
Support the design and implementation of new innovative product development
Participate in sprint planning, task estimation, design discussions, report outs, and standups
Ensure that adequate testing coverage is maintained
Contribute to life-saving products
Participate in creating and updating technical documentation
Work effectively as part of the development team and with other PeraHealth teams
You are:

Currently pursuing a Bachelors degree in Computer Science or Engineering
An excellent written and verbal technical communication skills
Accountable for commitments
Resourceful and independent
Someone with a desire to learn and work with new technologies
Receptive to mentorship and exhibits a desire to grow
Willing to learn new programming methodologies and design principles
Willing to learn agile processes and work within a fast-moving development team
Your experience includes:

Exposure to Java and the Spring Framework (JPA, JDBC, MVC), Angular/UI development, or Ionic/Mobile development
Version control (Git)
Database/SQL
Object-oriented design and coding
Programming principles
PeraHealth is an equal opportunity employer."
